type,date,Australia,Canada,China,France,Germany,Hungary,India,Japan,Mexico,Pakistan,Russia,United Kingdom,United States of America,Vietnam
cbr,2000,13,10.9,14.03,13.3,9.3,9.6,26.463,9.4,24.132,32.035,8.7,11.5,14.4,17.527
cbr,2001,12.7,10.6,13.38,13.1,8.9,9.5,26.012,9.3,23.673,31.326,9.1,11.3,14.1,17.133
cbr,2002,12.8,10.7,12.86,12.9,8.7,9.5,25.561,9.3,23.205,30.764,9.8,11.3,14,16.926
cbr,2003,12.6,10.5,12.41,12.8,8.6,9.3,25.108,9.2,22.731,30.364,10.2,11.7,14.1,16.844
cbr,2004,12.3,10.65,12.29,12.8,8.6,9.4,24.648,8.693604565,22.259,30.126,10.4,11.9,14,16.854
cbr,2005,12.8,10.65,12.4,12.8,8.3,9.7,24.171,8.413292219,21.799,30.033,10.2,12,14,16.926
cbr,2006,12.9,10.9,12.09,13.1,8.2,9.9,23.664,8.65,21.366,30.05,10.4,12.3,14.3,17.036
cbr,2007,14.1,11.2,12.1,12.8,8.3,9.7,23.126,8.63,20.968,30.12,11.3,12.6,14.3,17.168
cbr,2008,14,11.3,12.14,12.9,8.3,9.9,22.562,8.7,20.609,30.188,12,12.9,14,17.302
cbr,2009,13.9,11.3,12.13,12.8,8.1,9.6,21.982,8.5,20.287,30.217,12.3,12.7,13.5,17.411
cbr,2010,13.7,11.1,11.9,12.9,8.3,9,21.408,8.5,19.992,30.175,12.5,12.9,13,17.473
cbr,2011,13.6,11,11.93,12.7,8.3,8.8,20.864,8.3,19.714,30.041,12.6,12.8,12.7,17.471
cbr,2012,13.7,11,12.1,12.6,8.4,9.1,20.37,8.2,19.435,29.823,13.3,12.8,12.6,17.41
cbr,2013,13.3,10.8,12.08,12.4,8.5,9,19.938,8.2,19.145,29.53,13.2,12.1,12.4,17.295
cbr,2014,13.2,10.8,12.37,12.4,8.8,9.5,19.573,8,18.837,29.163,13.3,12,12.5,17.129
cbr,2015,12.8,10.8,12.07,12,9,9.4,19.269,8,18.512,28.727,13.3,11.9,12.4,16.923
cbr,2016,12.5,10.8,12,11.7,9.3,9.7,19.013,7.8,18.173,28.233,12.9,11.8,12.4,16.691
